Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.
SN2010Q,1/15/10,19.2,A102627+3901,26:27.1,+39:01:50.9,"0.055,0.055",Ic,1,
SN2010R,1/15/10,18.3,A121710+2539,17:10.5,+25:39:58.7,"0.078,0.078",Ia,1,
SN2010O,1/24/10,15.6,NGC 3690,28:33.9,+58:33:51.6,0.0104,Ib,1,2
SN2010X,2/7/10,17.41,NGC 1573A,48:27.9,+73:28:14.8,"0.015,0.015",Ic,16,5
SN2010ac,2/13/10,16.6,IC 4352,58:24.4,-34:30:55.4,0.0169,Ic,1,
SN2010ad,2/18/10,16,MCG +03-41-52,02:13.6,+15:56:18.8,0.0355,II,1,
SN2010ah,2/23/10,18.8,A114403+5541,44:03.0,+55:41:27.6,0.0498,Ic BL,1,2
SN2010bf,2/24/10,19.95,A104815+5724,"10:48:15.79,10:48:15.786,10:48:15.784","+57:24:19.5,+57:24:19.47,+57:24:19.48","0.074,0.074",Ic,19,
SN2010ak,3/11/10,18.1,MCG +03-41-142,10:50.0,+17:58:36.1,0.0365,Ic,1,1
SN2010am,3/12/10,17.3,A093301+1549,33:01.7,+15:49:08.8,"0.02,0.02",IIb,1,1
SN2010al,3/13/10,14.51,UGC 4286,14:15.9,+18:26:18.2,0.017155,Ibn,180,38
SN2010as,3/19/10,15.2,NGC 6000,49:49.2,-29:23:09.7,0.007315,Ib/c,1,26
SN2010av,3/19/10,17.9,IC 1099,06:57.0,+56:30:27.8,0.0296,Ib,1,1
PTF10htz,4/3/10,20.5,CGCG 352-058,08:37.5,+79:47:13.2,0.0352,Ia,1,2
SN2010br,4/10/10,16.8,NGC 4051,"12:03:10.95,12:03:10.96","+44:31:43.1,+44:31:42.8","0.0023,0.0023",Ib/c,1,
PTF10hcw,5/14/10,19.3,NGC 2639,43:36.2,+50:12:38.5,,Ib,1,
SN2010md,5/15/10,17.86,A163747+0612,"16:37:47.00,16:37:47.04,16:37:47.074","+06:12:32.3,+06:12:31.83","0.0987,0.0982",SLSN-I,180,20
SN2010ct,5/15/10,19.2,NGC 3362,44:50.0,+06:36:05.3,0.0277,II,1,
SN2010dc,5/22/10,17.3,IC 4854,27:17.7,-59:18:44.9,0.0137,Ib/c,1,
SN2010do,6/1/10,16.1,NGC 5374,57:28.1,"+06:05:48.5,+06:05:48.3",0.0146,Ic,1,1
SN2010fk,6/6/10,22.1,A161119+5338,"16:11:19.41,16:11:19.406,16:11:19.410","+53:38:15.0,+53:38:14.98,+53:38:14.94","0.14,0.14",II,1,
SN2010ei,6/12/10,17.5,A145408+4232,54:07.7,+42:32:54.6,0.019,IIb,1,1
SN2010eh,6/13/10,17.4,MCG -01-53-11,48:13.5,-05:48:13.0,"0.02,0.02",Ic,1,
SN2010ej,6/15/10,19.2,A141357+3132,13:56.7,+31:32:25.1,0.0523,IIb,1,1
SN2010ek,6/15/10,18.8,UGC 12191,48:41.0,+27:37:11.4,"0.032,0.032",IIb,1,1
SN2010gd,7/8/10,18,UGC 11064,57:41.0,+27:49:48.1,0.0235,Ic,1,
SN2010gk,7/17/10,15.5,NGC 5433,02:35.9,+32:30:30.7,0.0145,Ic,1,1
SN2010gi,7/18/10,15.6,IC 4660,"17:21:46.03,17:21:46.06","+75:50:44.4,+75:50:44.5","0.0041,0.0041",II,1,
SN2010gr,7/29/10,17.8,UGC 2035,33:59.0,+44:20:50.2,0.0169,Ic,1,1
PTF10qts,8/13/10,19.5,,41:37.6,+28:58:21.1,0.0907,Ic BL,1,7
PTF10svt,8/21/10,18.1,,37:17.8,-17:05:41.2,0.031,Ic,1,
SN2010hc,8/24/10,16.1,ESO 339-G6,"19:55:08.24,19:55:08.2,19:55:08.16","-39:21:58.5,-39:21:59,-39:21:58.32",0.020223,IIb,1,
SN2010hf,8/31/10,18.3,MCG +09-11-21,37:19.8,+56:22:57.8,0.0273,II,1,
PTF10vgv,9/14/10,16,LCSB S2641N,16:01.2,+40:52:03.3,0.015,Ic BL,1,6
SN2010ik,9/17/10,18.1,UGC 112,"00:12:07.65,00:12:07.48","+41:45:24.4,+41:45:24.6","0.017,0.025",II,1,
SN2010if,9/26/10,17.8,NGC 7372,45:45.2,+11:07:53.6,"0.039,0.039",Ib,1,1
SN2010ig,9/28/10,18.6,UGC 1306,50:49.0,+32:32:58.9,0.0378,Ib,1,
SN2010il,9/29/10,18,NGC 6922,29:53.1,-02:11:24.7,0.0189,Ib/c,1,
SN2010io,9/30/10,17.3,UGC 4543,"08:43:21.41,08:43:21.448","+45:44:18.0,+45:44:18.08","0.0065,0.0079",Ic,1,
CSS101008:001049+141039,10/3/10,19.4,,10:49.3,"+14:10:37.3,+14:10:39.0",0.1688,IIn,1,3
PTF10acbu,10/3/10,17.3,NGC 5430,"14:00:46.92,14:00:47.12","+59:20:16.5,+59:20:17.0",0.009877,Ic,1,
PTF10xla,10/4/10,19.2,,45:16.3,-14:13:42.5,0.053,Ib/c,1,
SN2010ir,10/9/10,16.4,ESO 491-G12,57:23.8,-24:43:10.5,"0.0086,0.0086",II,1,
SN2010iq,10/11/10,18.2,IC 5145,54:23.3,+15:09:20.6,0.0245,Ic,1,
SN2010is,10/12/10,18.3,MCG +04-55-02,19:14.4,+26:03:12.2,0.0209,Ib/c,1,
PS1-10bkj,10/31/10,21.773,,"03:36:07.2,03:36:07.217","-27:40:03.36,-27:40:03.31",0.44779,Ia,14,
SN2010jr,11/12/10,15,ESO 362-G18,19:34.5,-32:39:14.6,0.0124,II,170,
MLS101113:033911+225352,11/13/10,18.3,,39:10.6,+22:53:52.0,,Ic,1,
PTF10aavz,11/14/10,19.5,,20:13.4,+03:44:45.2,0.062,Ic BL,1,
SN2010jw,11/14/10,17.5,IC 2394,47:06.9,+28:14:17.4,0.0212,Ic,1,
SN2010kc,11/15/10,17,NGC 7624,20:22.3,+27:18:57.8,0.0143,Ib,1,1
SN2010lg,11/15/10,18.1,A225640+3810,56:40.2,+38:10:43.8,,II,1,
SN2010kh,11/18/10,17,UGC 11657,59:46.7,-01:53:43.9,0.0195,II,1,
SN2010lz,12/3/10,18.2,A015021-2144,50:21.3,"-21:44:31.9,-21:44:31.8","0.09,0.09",Ic,1,
SN2010ln,12/25/10,18.1,UGC 2685,20:53.6,+38:15:11.9,0.0168,Ib,1,
SN2010ls,12/29/10,16.1,A134051-4823,40:51.6,-48:23:03.1,0.0095,II,1,
SN2011D,1/5/11,17.3,UGC 2498,"03:02:14.55,03:02:14.6,03:02:14.53,03:02:14.592","+17:20:58.6,+17:20:59,+17:20:58.3,+17:20:58.92",0.0231,IIb,1,1
SN2011N,1/20/11,16.5,ESO 120-G16,51:35.2,-59:02:51.3,0.0114,Ic,1,
SN2011V,1/28/11,17.3,MCG +05-22-48,"09:27:38.76,09:27:38.75","+28:47:27.2,+28:47:27.5",0.0138,IIb,1,
PS1-11ka,2/4/11,20.5,NGC 4226,"12:16:26.983,12:16:26.980","+47:01:28.37,+47:01:28.32",0.0242,Ib/c,1,
PTF11bij,3/9/11,20.12,,58:58.4,+37:23:12.0,0.035,Ib-Ca,14,1
SN2011aw,3/9/11,19.1,A135547+2111,55:47.4,+21:11:26.7,0.055,Ib/c,1,
PTF11bli,3/15/11,17.9,PGC 2036567,02:16.2,+33:39:41.5,0.0344,Ib/c,1,
SN2011bo,3/21/11,17.6,ESO 337-G6,"18:59:38.46,18:59:38.45","-41:45:55.8,-41:45:55.7",0.0192,Ic,1,
SN2011bh,3/29/11,16.7,NGC 2431,45:13.6,+53:04:10.7,0.0189,Ic,1,
SN2011bl,4/5/11,16.9,UGC 8554,"13:34:14.70,13:34:14.69","+37:12:34.8,+37:12:34.7",0.0184,Ib/c,19,
SN2011ke,4/6/11,17.52,A135057+2616,"13:50:57.77,13:50:57.79,13:50:57.798","+26:16:42.8,+26:16:42.2,+26:16:42.44",0.1428,SLSN-I,195,18
SN2011bp,4/6/11,18.2,A111229+3123,"11:12:29.96,11:12:29.95",+31:23:05.5,,IIb,1,1
PSN J12565170+2629167,4/7/11,17.5,IC 835,56:51.7,+26:29:16.7,,Ib/c,1,
SN2011br,4/9/11,17.6,IC 1100,06:20.2,+62:59:00.6,0.022,Ib,1,1
SN2011ep,4/14/11,19,A170341+3245,03:41.8,+32:45:52.6,"0.28,0.28",Ic,1,
SN2011ca,4/26/11,16.1,NGC 4495,"12:31:24.94,12:31:24.89","+29:07:50.6,+29:07:50.0",0.0152,Ic,1,
SN2011cs,4/27/11,18.4,A120801+4913,08:01.1,+49:13:33.0,"0.1,0.1",Ic,1,
PTF11dlg,5/11/11,19.2,,02:35.8,+40:30:00.7,0.062,IIb,1,
SN2011dc,5/14/11,17.2,A145856+6554,"14:58:56.51,14:58:56.50",+65:54:08.3,0.04,Ib,1,
SN2011dh,6/1/11,11.15,NGC 5194,"13:30:05.1055,13:30:05.12,13:30:05.124","+47:10:10.922,+47:10:11.3,+47:10:11.301",0.001638,IIb,1432,84
SN2011dw,6/24/11,17.4,MCG +07-34-110,31:39.5,"+41:29:22.9,+41:29:22.8",0.0303,IIb,1,
SN2011ee,6/27/11,17.5,NGC 7674,27:57.3,"+08:46:38.1,+08:46:38.0",0.03,Ic,1,
SN2011ef,7/18/11,15.78,UGC 12640,30:57.0,"+15:29:24.3,+15:29:24.2",0.0134,II P,184,3
PTF11ilr,7/22/11,18.6,,07:32.5,+15:20:23.0,,Ib,1,
PTF11ixk,7/24/11,17.9,UGC 8399,21:45.0,+31:14:04.6,0.021,Ic,1,
PTF11izq,7/26/11,19.8,,47:30.1,+40:04:32.5,0.062,Ib,1,
PTF11kaa,8/3/11,19.5,,26:24.2,+46:51:29.6,0.04,Ib,1,
PTF11klg,8/19/11,18.4,CGCG 403-024,07:09.9,+06:29:08.7,0.026522,Ic,1,
SN2011fl,8/22/11,18.1,IC 1584,47:19.9,+27:49:35.5,0.0158,Ib,1,
SN2011gd,8/28/11,17.5,NGC 6186,34:25.7,"+21:32:28.4,+21:32:28.3",0.0098,Ib,1,1
SN2011ft,8/30/11,17.1,UGC 11021,52:43.0,+29:04:10.6,0.0173,IIb,1,2
SN2011gw,9/15/11,17.4,IC 2200,28:17.0,"-62:21:18.9,-62:21:18.8",0.0108,Ib/c,1,
SN2011fz,9/18/11,16.6,UGC 12271,"22:58:20.30,22:58:20.3,22:58:20.29,22:58:20.4","+02:17:29.9,+02:17:30,+02:17:29.8,+02:17:29.904",0.0161,Ib,1,1
SN2011gh,9/19/11,18.2,NGC 2405,"07:32:14.94,07:32:14.9,07:32:14.88","+25:54:14.6,+25:54:15,+25:54:14.76",0.0189,Ib,1,1
SN2011hg,10/28/11,18.18,UGC 12410,11:48.8,+31:01:00.4,0.0236,IIb,21,1
SN2011hp,11/3/11,15.7,NGC 4219,"12:16:25.47,12:16:25.46",-43:19:46.9,0.0066,Ic,1,
SN2011ii,11/15/11,16.8,ESO 310-G6,16:34.1,"-38:29:03.8,-38:29:03.7",0.0232,Ib,1,
SN2011hw,11/18/11,16.13,A222614+3412,"22:26:14.54,22:26:14.64,22:26:14.53","+34:12:59.1,+34:12:59.04,+34:12:59.0",0.023,IIn/Ibn,124,22
SN2011ip,11/20/11,17.8,A011348-1241,13:47.6,-12:41:06.0,0.049,Ic,1,1
SN2011jl,11/27/11,15.5,NGC 3354,43:02.9,-36:21:52.4,0.01,Ic,1,
SN2011jg,12/17/11,17.5,UGC 10331,17:18.9,"+59:19:29.8,+59:19:29.7",0.0149,IIb,1,
LSQ11jw,12/18/11,20.9,,04:47.4,+00:50:06.0,0.02,Ic,1,
SN2011kg,12/21/11,18.39,A013945+2955,"01:39:45.51,01:39:45.50,01:39:45.528","+29:55:27.0,+29:55:27.43",0.1924,SLSN-I,212,12
SN2011jf,12/22/11,17.7,UGC 2134,38:54.6,+27:50:48.7,0.0153,Ib Pec,1,1
SN2011jm,12/24/11,14.8,NGC 4809,"12:54:51.10,12:54:51.1,12:54:51.09,12:54:51.12","+02:39:14.9,+02:39:15,+02:39:14.8,+02:39:14.904",0.0031,Ic,1,1
SN2012J,1/2/12,15.8,ESO 386-G39,56:23.6,-37:36:18.0,0.0092,Ib/c,1,
SN2012C,1/4/12,16.6,NGC 2926,37:30.5,+32:50:31.5,0.0145,Ic,1,
SN2012F,1/4/12,17.3,A003319+0348,33:19.5,+03:48:17.4,0.03,Ib,1,1
SN2012Q,1/14/12,17,ESO 366-G18,46:26.6,-36:53:13.4,0.031669,Ic,1,
SN2012ba,1/21/12,15.9,ESO 328-G46,22:25.1,-38:12:04.2,0.017292,Ic,1,
SN2012aa,1/25/12,17.7,APMUKS(BJ) B144957.00-031938.0,"14:52:33.48,14:52:33.5","-03:31:54.0,-03:31:54",0.0797,Ic,1,4
SN2012at,2/15/12,15.6,ESO 361-G19,"04:54:52.81,04:54:52.8,04:54:52.824","-37:19:16.1,-37:19:16,-37:19:16.32",0.0078,Ic,1,
SN2012an,2/21/12,17.4,NGC 6373,24:10.2,+59:00:06.9,0.0111,IIb,1,
SN2012bt,3/7/12,16.2,IC 4674,08:13.1,"-62:23:54.2,-62:23:54.3",0.0144,Ic,1,
LSQ12axx,3/8/12,17.4,,17:50.7,-05:43:11.1,0.0399,Ib,1,
PTF12bwq,3/22/12,19.3,,46:54.4,+25:17:27.2,0.04,Ib,1,
SN2012bk,3/25/12,16.8,A135451-2630,54:51.7,-26:30:46.4,0.0176,Ib,1,
PTF12cde,3/30/12,19,,58:58.4,+36:14:26.4,0.0125,Ib/c,1,
LSQ12bph,4/1/12,19.2,,"15:47:32.420,15:47:32.42",+23:04:46.38,0.045,Ic,1,2
LSQ12bqn,4/2/12,19.6,,28:43.5,"-09:04:25.0,-09:04:25.7",0.091,Ic?,1,1
LSQ12btw,4/9/12,17.76,,"10:10:28.820,10:10:28.82",+05:32:12.48,0.0571,Ibn,41,6
SN2012hn,4/12/12,16.5,NGC 2272,"06:42:42.55,06:42:42.6,06:42:42.48","-27:26:49.8,-27:26:50,-27:26:49.92",0.0076,Ic Pec,151,9
SN2012bw,4/22/12,17.7,UGC 10282,"16:12:56.09,16:12:56.1,16:12:56.16","+32:30:42.3,+32:30:42,+32:30:42.12",0.0309,Ic,1,
SN2012bz,4/25/12,20.2,A090738+1401,"09:07:38.38,09:07:39.6","+14:01:07.5,+13:58:26.4",0.283,Ic BL,160,5
SN2012cs,5/27/12,16.4,IC 1129,31:57.7,+68:14:42.8,0.0218,IIb,1,
SN2012dp,6/16/12,17.8,IC 1155,"16:00:35.09,16:00:35.1,16:00:35.04","+15:41:04.3,+15:41:04,+15:41:04.2",0.0359,Ib,1,1
PTF12gpn,7/14/12,18.1,,05:32.3,-06:38:34.7,0.02165,IIb,1,
LSQ12dyw,7/17/12,19.4,,29:24.8,-07:23:20.4,0.09,Ic Pec,1,
PTF12gvr,7/20/12,20.6,,05:13.3,+30:28:07.0,0.056,Ib/c,1,
SN2012im,7/25/12,17.3,NGC 6984,"20:57:53.92,20:57:53.9,20:57:54","-51:52:24.8,-51:52:25,-51:52:24.96",0.016,Ic,1,
SN2012dx,7/26/12,16.8,PGC 63016,17:17.4,+33:25:48.7,0.0149,Ib,1,1
LSQ12eij,8/12/12,19.3,,35:24.6,-20:30:40.7,,blue,1,
SN2012es,8/12/12,15.8,NGC 5597,24:29.1,-16:45:39.2,0.00895,IIb,1,
SN2012ek,8/18/12,17.9,MCG +06-41-13,40:28.8,+36:07:17.4,0.028563,Ib,1,1
LSQ12elq,8/20/12,17.6,,32:15.5,+01:29:15.7,,Ic?,1,
LSQ12emi,8/21/12,19.5,,00:13.8,-22:11:17.5,0.05,Ic,1,1
SN2012ej,8/22/12,15.3,IC 2166,26:51.0,+59:05:02.6,0.0089,Ic,1,
LSQ12ezn,9/13/12,19.6,,37:45.6,-37:15:56.6,,blue,1,
CSS120914:215710+055647,9/14/12,15.9,,57:09.9,+05:56:47.1,0.05,Ic,1,
SN2012ex,9/16/12,17.5,UGC 838,"01:18:45.97,01:18:46.0,01:18:45.984","+14:59:40.2,+14:59:40",0.0229,Ib,1,
SN2012ey,9/16/12,18.6,PGC 9159,"02:24:50.64,02:24:50.6","+16:10:54.3,+16:10:54,+16:10:54.12",0.0272,IIb,1,1
LSQ12ffm,9/19/12,19.9,,15:58.5,+08:44:34.1,0.148,Ic?,1,1
PSN J01232438+0925545,10/3/12,15.3,NGC 509,"01:23:24.40,01:23:24.38",+09:25:54.5,0.00758,Ib/c,1,
SN2012fg,10/7/12,14.5,NGC 2857,"09:24:37.95,09:24:38.05","+49:21:32.0,+49:21:34.0",0.01624,IIb,1,1
SN2012fn,10/7/12,21.6,A033528-2736,"03:35:28.283,03:35:28.28","-27:36:21.63,-27:36:21.6,-27:36:21.48","0.284,0.284",Ic,1,
OGLE-2012-SN-006,10/16/12,15.02,,33:34.8,-74:23:40.1,0.06,Ibn,311,19
LSQ12fnt,10/20/12,19.2,,32:41.4,-01:11:11.0,0.019,Ic,1,1
LSQ12frx,10/25/12,18.2,,51:57.2,-23:42:36.7,0.03,Ib/c,1,
SN2012gu,10/25/12,23.3,A035240-2726,"03:52:40.680,03:52:40.68","-27:26:19.32,-27:26:19.3","0.45,0.45",Ic,1,
SN2012gh,10/26/12,18,A164652+5651,"16:46:52.49,16:46:52","+56:51:05.4,+56:51:05",0.07,Ic,1,1
LSQ12fwb,11/2/12,18.5,,25:25.2,+06:42:25.9,0.03,IIb,1,
LSQ12gbt,11/6/12,19.7,,30:10.3,+09:23:17.6,0.07,Ib/c,1,
LSQ12gbz,11/6/12,18.3,NGC 1577,26:20.4,"-10:06:12.8,-10:06:12.0",0.028,Ic,1,
SN2012gi,11/9/12,16.6,UGC 11922,08:52.4,+40:20:24.0,0.0242,Ic,1,
LSQ12gkk,11/13/12,20.7,,07:28.6,-23:51:16.7,0.059,Ic,1,
SN2012hf,11/22/12,17.2,NGC 3469,56:57.5,-14:17:37.8,0.015497,Ic,1,1
CSS121204:033907-064917,12/4/12,18.6,,39:07.0,-06:49:17.0,0.03,Ib,1,
LSQ12hbo,12/5/12,18.2,,56:16.0,"-20:51:32,-20:51:32.0",0.013,IIb,1,1
CSS121210:112615+144039,12/10/12,18,,26:15.0,+14:40:39.0,0.09,Ic,1,
SN2012hs,12/15/12,14.5,ESO 213-G2,49:14.7,-47:54:45.6,0.006424,II,1,25
SN2012ib,12/20/12,16,UGC 9684,03:54.9,+42:06:55.3,0.016872,Ib/c,1,1
LSQ12htu,12/21/12,19.7,,11:37.1,-07:23:11.6,0.052,IIb?,1,1
SN2013F,1/5/13,17.1,IC 5325,"23:28:45.03,23:28:45.0,23:28:45.12","-41:19:56.2,-41:19:56,-41:19:56.28",0.005,Ib,1,
SN2013J,1/19/13,18,MCG +05-27-25,12:50.3,+28:04:19.7,0.034,Ic,1,1
PTF13v,2/1/13,19.4,MCG +06-30-64,38:42.4,+32:18:23.1,0.062,IIb,1,
PSN J12393328+1525520,2/22/13,19.4,IC 3622,39:33.3,+15:25:52.0,0.072,Ic,1,
PSN J11534177-5406168,3/10/13,17.8,ESO 171-G1,53:41.8,-54:06:16.8,0.022416,Ic,1,1
SN2013bd,3/17/13,20.2,ESO 583-G5,"15:42:58.13,15:42:58.1,15:42:58.08","-18:23:47.2,-18:23:47,-18:23:47.4",0.034,IIb,1,
PS1-13abw,4/1/13,21.23,,,,,Ic,1,
LSQ13th,4/2/13,19.2,,28:49.0,-03:30:46.4,0.056,Ib/c,1,1
SN2013bb,4/3/13,18,NGC 5504,"14:12:13.96,14:12:14.0,14:12:13.92","+15:50:31.5,+15:50:32,+15:50:31.56",0.0175,IIb,1,16
SNhunt181,4/6/13,19.4,IC 3128A,"12:18:41.3,12:18:41.38,12:18:41.29,12:18:41.28","+11:43:53,+11:43:53.0,+11:43:53.1,+11:43:53.04",0.04,Ib,1,
SN2013bk,4/7/13,,IC 553,"09:40:47.55,09:40:47.6,09:40:47.52","-05:26:11.9,-05:26:12,-05:26:10.068,-05:26:11.868",0.02,Ic,12,1
LSQ13xf,4/7/13,19.9,,16:03.2,+05:07:12.7,0.048973,IIb,1,
SN2013bl,4/7/13,18,UGC 4578,46:15.1,+41:34:40.0,0.030364,IIb,1,1
SN2013bv,4/9/13,18.7,A084121+5243,41:21.3,+52:43:30.3,0.06,Ic,1,
LSQ13abf,4/15/13,20,,"11:49:06.620,11:49:06.62",+19:10:10.71,0.02,Ic,1,
SN2013bn,4/15/13,17.8,A114802+5434,"11:48:02.03,11:48:02.02","+54:34:38.6,+54:34:38.5",0.0545,Ic BL,1,1
SN2013cq,4/27/13,22.13,A113232+2741,"11:32:32.84,11:32:32.81,11:32:36","+27:41:56.2,+27:41:56.1,+27:42:21.6",0.3399,Ic BL,16,1
SN2013ch,4/30/13,15.2,ESO 7-G6,41:43.4,-84:27:52.4,0.0073,IIb,1,
PS1-13avb,5/2/13,21.75,,,,,Ib,1,
SN2013cu,5/5/13,15.04,UGC 9379,33:59.0,+40:14:20.7,0.025235,II,51,6
SN2013co,5/6/13,17.7,A125550+3030,55:50.5,+30:30:41.5,0.049724,Ic,1,
CSS130508:102149+414425,5/8/13,19.3,,21:48.6,+41:44:25.4,0.09,Ib Pec,1,
SN2013gl,5/9/13,15.1,IC 701,31:00.5,+20:28:10.3,0.0205,Ib,1,3
PSN J11430127+2357016,5/29/13,17.3,UGC 6681,43:01.3,+23:57:01.6,0.0239,II,1,
PSN J00564446-0954595,6/10/13,17.2,NGC 309,56:44.5,-09:54:59.5,0.018886,IIb,1,
LSQ13bca,7/7/13,19.9,,16:16.4,-20:30:48.9,0.08,II,1,1
SN2013el,7/11/13,15.3,NGC 1285,17:52.4,-07:18:02.1,0.017475,Ib Pec,18,1
LSQ13bbv,7/15/13,20.2,,58:05.0,+03:51:20.25,0.05,Ib,1,
SN2013ep,7/29/13,17.5,MCG +07-47-01,"22:58:30.35,22:58:29.3","+40:25:44.5,+40:25:46",0.016888,IIb,1,1
PTF13cab,7/30/13,19.7,,13:17.7,+14:26:06.7,0.03,Ib,1,
PTF13cbf,7/30/13,20,,13:07.0,+14:17:53.6,0.039,Ic,1,
LSQ13bwg,8/20/13,18.3,,55:45.1,-02:10:52.8,0.024,Ib/c,1,1
LSQ13byc,8/25/13,19.5,,08:43.7,-21:38:08.9,0.04,Ib/c,1,1
DES13C2bxd,8/31/13,20.1,,38:02.5,-29:09:25.6,0.039,Ic,1,
DES13C1feu,9/15/13,21.6,,33:04.0,-26:57:53.5,0.059,Ic,1,
SN2013fq,9/15/13,15.3,A195907-5555,59:08.0,-55:55:46.6,0.01149,IIb,1,15
PS1-13djz,9/19/13,20.74,,,,,Ic,1,
SN2013gk,10/28/13,16.8,ESO 230-G6,42:13.0,-49:44:37.0,0.0177,IIb,1,
SN2013ho,11/1/13,17.4,MCG +08-15-39,06:59.0,+46:08:11.6,0.03378,Ib/c,1,1
SN2013gg,11/5/13,17.9,UGC 4958,"09:21:08.27,09:21:08.25","+49:35:33.5,+49:35:33.8",0.0274,IIb,1,1
SN2013ge,11/8/13,14.25,NGC 3287,34:48.5,+21:39:41.9,0.004356,Ic,381,40
SN2013hv,11/18/13,17.8,ESO 501-G102,50:59.3,-23:39:29.4,0.01327,Ic,1,
PSN J11484578-2817312,11/27/13,15,ESO 440-G11,48:45.8,-28:17:31.2,0.01,Ic BL,1,2
iPTF13edf,11/28/13,19,,44:09.5,+40:19:28.5,0.0267,IIb/Ib,1,1
LSQ13der,11/28/13,19.8,,46:39.9,-26:59:15.5,0.06,Ic,1,
SN2013hd,12/2/13,19.5,UGC 2895,"03:54:21.40,03:54:21.4,03:54:21.408","+17:35:04.8,+17:35:05,+17:35:04.92",0.03368,Ib,1,1
LSQ13dkg,12/9/13,17.3,,15:53.2,-16:08:26.4,0.015,Ib/c,1,1
OGLE-2013-SN-134,12/10/13,18.85,,13:58.0,-72:58:24.9,0.039,Ic,31,1
LSQ14ds,1/8/14,19.9,,48:14.4,-27:00:46.4,0.057,Ic,1,1
LSQ14hj,1/20/14,18.7,,25:08.1,-32:37:32.8,0.05,IIb,1,1
PSN J06120295-2149353,1/20/14,18,NGC 2196,12:02.9,-21:49:35.3,0.0077,Ic,1,
PTF14va,2/24/14,18.7,CGCG 042-046,21:58.0,+02:20:41.2,0.006,Ib/c,1,
SN2014ad,3/12/14,13.69,MRK 1309 NED01,"11:57:44.44,11:57:44.4","-10:10:15.7,-10:10:16,-10:10:15.6",0.0057,BL-Ic,173,12
LSQ14akx,3/13/14,18.7,,34:05.7,-07:39:36.5,0.023,IIb,1,
LSQ14ayl,4/9/14,19.5,,57:35.2,-14:36:31.7,0.055,Ic,1,1
SN2014ar,4/18/14,17.6,ESO 266-G15,40:58.9,-44:29:05.7,0.010576,Ic,1,
SN2014as,4/18/14,16.3,NGC 5410,00:54.5,+40:58:59.6,0.012469,Ic BL,1,1
SN2014av,4/19/14,16.2,UGC 4713,00:20.0,+52:29:28.0,0.030154,Ibn,1,7
CSS140421:142042+031602,4/21/14,17.8,,"14:20:41.70,14:20:41.71",+03:16:01.5,0.064,Ibn,1,15
LSQ14bef,4/22/14,19.8,,27:41.8,-08:36:45.5,0.05,Ic BL,1,1
SNhunt242,4/24/14,19.6,2MASX J20041146-1946436,"20:04:11.74,20:04:11.7,20:04:11.76","-19:46:39.6,-19:46:40,-19:46:39.72",0.068,IIb,1,
PSN J09430082+3146486,5/2/14,17.8,PGC 2832069,43:00.8,+31:46:48.6,0.022,IIb,1,
CSS140505:143511+134946,5/5/14,18.7,,"14:35:11.0,14:35:10.54","+13:49:46,+13:49:46.5",,Ic-lum?,1,
SN2014br,5/5/14,16.5,ESO 147-G17,59:50.7,-61:33:22.2,0.028,Ib/c,1,
SN2014bl,5/20/14,17.1,A132539+2557,25:38.8,+25:57:33.9,0.0377,Ic,1,1
SN2014bk,5/28/14,17.9,A135402+2000,54:02.4,+20:00:24.3,0.0697,Ibn,1,1
PSN J11220840-3804001,5/31/14,16.8,ESO 319-G16,22:08.4,-38:04:00.1,0.01,IIb,1,
SN2014bt,5/31/14,16.2,IC 5128,43:11.1,-38:58:05.8,0.016,Ib/c,1,
SN2014cl,6/16/14,17.5,IC 217,16:09.1,-11:56:02.6,0.006304,IIb,1,
LSQ14cnl,6/18/14,19.2,,50:23.9,+00:34:17.8,0.0549,Ib,1,
SN2014cq,6/20/14,16.8,ESO 91-G11,23:29.6,-63:40:28.3,0.011,IIb,1,1
ASASSN-14de,6/23/14,16.4,MCG +07-22-42,"10:40:39.33,10:40:39.36,10:40:39","+39:03:52.7,+39:03:52.56,+39:53:02",0.029284,Ic,1,1
SN2014cp,6/23/14,15.7,ESO 479-G1,25:30.5,-25:37:38.0,0.016164,Ic BL,1,10
ASASSN-14dd,6/24/14,15.6,NGC 2466,"07:45:14.380,07:45:14.38,07:45:14.64","-71:24:14.04,-71:24:14.0,-71:24:14.4",0.017722,Ibn,1,
LSQ14efd,8/3/14,18.66,,35:38.8,-58:52:38.3,0.08,Ic,108,
DES14E2ag,8/17/14,21.2,,39:22.2,-44:04:03.4,0.2263,Ic,1,
LSQ14fig,9/8/14,20.1,,00:58.8,-16:06:52.8,0.04,Ic,1,1
Gaia14aam,9/18/14,18.95,,"12:05:35.59,12:05:35.52","+49:28:21.7,+49:28:21.72",0.08,Ib/c,18,
SN2014dj,9/24/14,17,NGC 317B,57:40.2,"+43:47:35.1,+43:47:34.2,+43:47:43.2",0.018,Ic,1,3
CSS140925:005854+181322,9/25/14,19.9,,"00:58:54.11,00:58:54.12",+18:13:22.2,0.46,SLSN-I,1,
PSN J22081243+4110503,9/28/14,16.6,UGC 11919,08:12.4,+41:10:50.3,0.018,Ic,1,1
SN2014dp,9/28/14,16.8,ESO 562-G3,19:38.0,-22:34:14.7,0.018,Ib,1,1
